PSRJ;RAJ;DECJ;DM;P0;S400;
J0725-1635;07:25:00.4;-16:35:46;98.98;0.424311;4.00;
J0946+0951;09:46:07.6;+09:51:55;15.32;1.097706;4.00;
J1006-6311;10:06:36.6;-63:11:41.2;195.99;0.835797;4.00;
J1047-6709;10:47:28.2;-67:09:51.0;116.16;0.198451;4.00;
J1311-1228;13:11:52.6;-12:28:02;36.21;0.447518;4.00;
J1403-7646;14:03:04.1;-76:46:57.5;100.60;1.306198;4.00;
J1457-5122;14:57:40.1;-51:22:53;37.00;1.748301;4.00;
J1800-2343;18:00;-23:43;280.00;1.030820;4.00;
J1806-1154;18:06:06.7;-11:54:29;122.41;0.522618;4.00;
J1817-2311;18:17;-23:11;240.00;0.625470;4.00;
J1915+1606;19:15:27.9;+16:06:27.3;168.77;0.059030;4.00;
J1924+2040;19:24:40;+20:40:03;213.00;0.237790;4.00;
J2124+1407;21:24:46.5;+14:07:19;30.25;0.694053;4.00;
J2324-6054;23:24:27.1;-60:54:05.8;14.00;2.347488;4.00;
J0212+5222;02:12:52.1;+52:22:50;38.21;0.376386;4.10;
J1012-2337;10:12:33.7;-23:38:22;22.51;2.517945;4.10;
J1641+8049;16:41:20.8;+80:49:52.9;31.09;0.002021;4.10;
J1815+5546;18:15:05.7;+55:46:23;59.00;0.426844;4.20;
J1904+1011;19:04:02.4;+10:11:34.6;135.00;1.856570;4.40;
J0034+69;00:34;+69:43;80.00;0.036804;4.50;
J0902-6325;09:02:32.4;-63:25:12.0;76.00;0.660313;4.50;
J1235-54;12:35:19;-54:57;100.00;0.638234;4.50;
J1259-6741;12:59:22.7;-67:41:40;94.70;0.663329;4.50;
J1915+1647;19:15:19.1;+16:47:08;62.57;1.616231;4.50;
J1024-0719;10:24:38.6;-07:19:19.5;6.48;0.005162;4.60;
J1906+1854;19:06:44.7;+18:54:08.5;156.77;1.019093;4.60;
J2046+5708;20:46:46.6;+57:08:37;101.79;0.476735;4.60;
J1942+8106;19:42:54.6;+81:06:17;40.24;0.203558;4.80;
J0624-0424;06:24:20.0;-04:24:50;70.83;1.039076;4.90;
J1754+5201;17:54:22.9;+52:01:12.2;35.01;2.391397;4.90;
J2351+8533;23:51:03.2;+85:33:21;38.50;1.011727;4.90;
J0133-6957;01:33:32.4;-69:57:29.6;22.95;0.463474;5.00;
J0509+0856;05:09:22.2;+08:56:25.0;38.32;0.004056;5.00;
J0540-7125;05:40:30.8;-71:25:31.4;29.41;1.286015;5.00;
J0700+6418;07:00:37.8;+64:18:11.2;8.77;0.195671;5.00;
J0921+6254;09:21:14.1;+62:54:14;13.15;1.567994;5.00;
J1104-6103;11:04:17.2;-61:03:03.8;78.51;0.280905;5.00;
J1225-5556;12:25:43.8;-55:56:43.1;125.83;1.018453;5.00;
J1506-5158;15:06:39.5;-51:58:10;61.00;0.840739;5.00;
J1805+0306;18:05:10.1;+03:06:30;80.86;0.218712;5.00;
J1826-1131;18:26:05.4;-11:31:44;320.58;2.093136;5.00;
J1857+0057;18:57:00.8;+00:57:17;82.39;0.356929;5.00;
J1908+0916;19:08:58.7;+09:16:14;249.80;0.830270;5.00;
J1910+1231;19:10:13.5;+12:31:40;258.64;1.441742;5.00;
J1930+1316;19:30:00.9;+13:16:11.1;207.30;0.760032;5.00;
J2030+2228;20:30:40.4;+22:28:22;71.86;0.630513;5.00;
J2215+5135;22:15:32.6;+51:35:36.3;69.20;0.002610;5.00;
J1018-1642;10:18:40.3;-16:42:10;48.82;1.804695;5.10;
J1834-0010;18:34:17.2;-00:10:53;88.65;0.520954;5.10;
J1913+1400;19:13:24.3;+14:00:52.5;145.05;0.521473;5.20;
J1949-2524;19:49:25.4;-25:24:01;23.07;0.957617;5.20;
J0358+6627;03:58:37.9;+66:27:46.6;62.33;0.091506;5.30;
J1544+4937;15:44:04.4;+49:37:55.2;23.23;0.002159;5.40;
J1909+1859;19:09:18.6;+18:59:10.7;64.52;0.542451;5.40;
J1910+0714;19:10:18.5;+07:14:11.8;124.06;2.712423;5.40;
J0358+4155;03:58:03.1;+41:55:19.0;46.33;0.226484;5.50;
J0645+80;06:46;+80:09;50.00;0.657873;5.50;
J0943+2253;09:43:32.3;+22:53:05.6;27.25;0.532975;5.50;
J1833-6023;18:33:14.8;-60:23:04;35.00;1.889436;5.50;
J2002+3217;20:02:04.4;+32:17:18;142.21;0.696761;5.50;
J0058+4950;00:58:09.9;+49:50:26;66.95;0.996023;5.60;
J1624+8643;16:24:32.7;+86:43:13;46.43;0.395763;5.60;
J1734-0212;17:34:45.6;-02:12:39;65.05;0.839394;5.70;
J0740+41;07:41;+41:04;20.83;0.003139;5.80;
J1711-1509;17:11:55.0;-15:09:40;59.88;0.868804;5.90;
J1918-0642;19:18:48.0;-06:42:34.9;26.46;0.007646;5.90;
J0211-8159;02:11:59.0;-81:59:36.2;24.36;1.077333;6.00;
J0335+4555;03:35:16.6;+45:55:53.4;47.15;0.269201;6.00;
J0421-0345;04:21:33.5;-03:45:07;44.61;2.161308;6.00;
J0627+0706;06:27:44.1;+07:06:32.8;138.25;0.475885;6.00;
J1003-4747;10:03:21.5;-47:47:01.2;98.49;0.307074;6.00;
J1159-7910;11:59:35.7;-79:10:05.6;59.24;0.525074;6.00;
J1358-2533;13:58:42;-25:33;31.27;0.912971;6.00;
J1623-0908;16:23:17.6;-09:08:48.7;68.18;1.276446;6.00;
J1850+1335;18:50:35.4;+13:35:58;60.14;0.345582;6.00;
J1904-1224;19:04:33.2;-12:24:01;118.23;0.750808;6.00;
J1912+2104;19:12:43.3;+21:04:33.9;88.60;2.232969;6.00;
J1920+2650;19:20:38.3;+26:50:38;27.71;0.785522;6.00;
J1927+2234;19:27:08.0;+22:34:57.3;180.00;1.431066;6.00;
J1945-0040;19:45:28.3;-00:40:58;59.71;1.045632;6.00;
J1952+1410;19:52:06.1;+14:07:29;31.51;0.275026;6.00;
J2037+3621;20:37:27.4;+36:21:24;93.56;0.618715;6.00;
J2108-3429;21:08:30.4;-34:29:37.9;30.22;1.423102;6.00;
J1627+1419;16:27:18.7;+14:19:20.7;32.17;0.490857;6.10;
J1743-1351;17:43:37.6;-13:51:38;116.30;0.405337;6.10;
J1908+0500;19:08:05.1;+05:00:54.4;201.42;0.291021;6.10;
J0842-4851;08:42:05.3;-48:51:21.1;196.85;0.644365;6.20;
J1819+1305;18:19:56.2;+13:05:15.2;64.81;1.060364;6.20;
J1659-1305;16:59:53.0;-13:05:09;60.37;0.640958;6.30;
J2212+2933;22:12:23.3;+29:33:05.4;74.52;1.004593;6.30;
J0415+6954;04:15:55.6;+69:54:09.9;27.45;0.390715;6.40;
J2137+6428;21:37:20.2;+64:28:42;106.00;1.750989;6.40;
J0157+6212;01:57:49.9;+62:12:26.6;30.21;2.351745;6.50;
J0653+8051;06:53:15.0;+80:52:00.2;33.32;1.214441;6.50;
J0659+1414;06:59:48.1;+14:14:19.4;13.94;0.384929;6.50;
J0909-7212;09:09:36.0;-72:12:08.4;54.30;1.362890;6.50;
J1057-7914;10:57:27.4;-79:14:24.2;51.00;1.347402;6.50;
J1239-6832;12:39:58.8;-68:32:30.0;94.30;1.301923;6.50;
J1900-7951;19:00:24.4;-79:51:48.2;39.00;1.279193;6.50;
J2023+5037;20:23:41.9;+50:37:34.9;32.99;0.372619;6.50;
J0147+5922;01:47:44.6;+59:22:03.2;40.11;0.196321;6.60;
J1743-3150;17:43:36.6;-31:50:22;193.05;2.414576;6.60;
J1937+2544;19:37:01.2;+25:44:13.4;53.22;0.200980;6.60;
J1954+2923;19:54:22.5;+29:23:17.2;7.93;0.426677;6.60;
J1713+0747;17:13:49.5;+07:47:37.4;15.92;0.004570;6.80;
J0517+2212;05:17:17.1;+22:12:51.9;18.70;0.222367;7.00;
J0943+1631;09:43:30.1;+16:31:37;20.34;1.087418;7.00;
J1107-5947;11:07:58.7;-59:47:04;158.40;1.516531;7.00;
J1119-7936;11:19:40.8;-79:36:30.3;27.40;2.280597;7.00;
J1143-5158;11:43:15.0;-51:58:39.8;159.03;0.675646;7.00;
J1156-5909;11:56:21.5;-59:09:12.3;219.20;1.037931;7.00;
J1320-3512;13:20:12.6;-35:12:26.0;16.42;0.458488;7.00;
J1635-5954;16:35:09.0;-59:54:41;134.90;0.529121;7.00;
J1822-4209;18:22:11.3;-42:09:10.9;72.51;0.456512;7.00;
J1947-4215;19:47:06;-42:15;35.00;1.798069;7.00;
J1952+3252;19:52:58.2;+32:52:40.5;45.01;0.039531;7.00;
J2038-3816;20:38:54.1;-38:16:11.9;33.96;1.577286;7.00;
J2127-6648;21:27:31.2;-66:48:28.1;35.00;0.325771;7.00;
J2256-1024;22:56:56.3;-10:24:34.3;13.78;0.002295;7.00;
J0747+6646;07:47:39.6;+66:46:57;27.58;0.407701;7.40;
J1649+2533;16:49:44.2;+25:33:07.0;34.46;1.015257;7.40;
J0040+5716;00:40:32.3;+57:16:24.8;92.51;1.118225;7.50;
J1933+2421;19:33:37.8;+24:36:40;106.03;0.813690;7.50;
J1944-1750;19:44:05.2;-17:50:11;56.32;0.841158;7.50;
J0117+5914;01:17:38.6;+59:14:38.4;49.42;0.101439;7.60;
J1555-2341;15:55:33.1;-23:41:10;51.90;0.532578;7.60;
J0855-3331;08:55:38.4;-33:31:39;86.64;1.267536;7.70;
J1801-2451;18:01:00.0;-24:51:27.5;291.55;0.124924;7.80;
J1932+2220;19:32:22.7;+22:20:51;219.20;0.144470;7.80;
J0030+0451;00:30:27.4;+04:51:39.7;4.34;0.004865;7.90;
J2051-0827;20:51:07.5;-08:27:37.7;20.73;0.004509;7.90;
J0520-2553;05:20:36.1;-25:53:12;33.77;0.241642;8.00;
J0749-4247;07:49:49.6;-42:47:42.1;104.59;1.095452;8.00;
J0754+3231;07:54:40.6;+32:31:56.2;39.99;1.442349;8.00;
J0904-4246;09:04:59.2;-42:46:14;145.80;0.965171;8.00;
J1047-3032;10:47:00.8;-30:32:18;52.54;0.330328;8.00;
J1123-4844;11:23:15.6;-48:44:22.7;92.92;0.244838;8.00;
J1123-6651;11:23:52.2;-66:51:49.0;111.20;0.232976;8.00;
J1130-6807;11:30:31.9;-68:07:28.5;148.73;0.256353;8.00;
J1141-3322;11:41:42.7;-33:22:37;46.45;0.291468;8.00;
J1518+4904;15:18:16.7;+49:04:34.2;11.61;0.040935;8.00;
J1603-5657;16:03:31.4;-56:57:44.1;264.07;0.496077;8.00;
J1706+59;17:07;+59:10;31.00;1.476687;8.00;
